AREA,INT_SQFT,N_BEDROOM,N_BATHROOM,SALE_COND,PARK_FACIL,BUILDTYPE,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,SALES_PRICE,PROPERTY_AGE,AREA_PRICE_LEVEL,BEDROOM_SQFT_RATIO,BATHROOM_SQFT_RATIO
4,1004.0,1.0,1.0,0,1,0,2,0,4.0,3.9,4.9,7600000.0,44,1.0,0.00099601593625498,0.00099601593625498
1,1986.0,2.0,1.0,0,0,0,0,3,4.9,4.2,2.5,21717770.0,11,6.0,0.0010070493454179255,0.0005035246727089627
0,909.0,1.0,1.0,0,1,0,0,4,4.1,3.8,2.2,13159200.0,20,2.0,0.0011001100110011,0.0011001100110011
6,1855.0,3.0,2.0,2,0,2,2,2,4.7,3.9,3.6,9630290.0,22,4.0,0.0016172506738544475,0.001078167115902965
4,1226.0,1.0,1.0,0,1,2,0,1,3.0,2.5,4.1,7406250.0,30,1.0,0.0008156606851549756,0.0008156606851549756
2,1220.0,2.0,1.0,4,0,0,1,3,4.5,2.6,3.1,12394750.0,5,3.0,0.001639344262295082,0.000819672131147541
2,1167.0,1.0,1.0,4,0,2,1,4,3.6,2.1,2.5,8488790.0,28,3.0,0.000856898029134533,0.000856898029134533
6,1847.0,3.0,2.0,2,0,0,0,5,2.4,4.5,2.1,16800250.0,10,4.0,0.0016242555495397943,0.0010828370330265296
2,771.0,1.0,1.0,1,0,2,2,5,2.9,3.7,4.0,8308970.0,34,3.0,0.0012970168612191958,0.0012970168612191958
6,1635.0,2.0,1.0,0,0,2,1,2,3.1,3.1,3.3,8083650.0,15,4.0,0.0012232415902140672,0.0006116207951070336
2,1203.0,2.0,1.0,1,1,0,1,5,4.0,3.2,4.5,14938000.0,28,3.0,0.0016625103906899418,0.0008312551953449709
2,1054.0,1.0,1.0,4,0,2,0,5,2.2,3.1,3.3,9449730.0,37,3.0,0.0009487666034155598,0.0009487666034155598
2,1196.0,1.0,1.0,2,0,2,1,4,2.1,2.5,2.1,8774370.0,19,3.0,0.0008361204013377926,0.0008361204013377926
0,1056.0,1.0,1.0,4,1,2,2,3,2.2,3.4,3.7,9386490.0,26,2.0,0.000946969696969697,0.000946969696969697
6,1865.0,3.0,2.0,2,0,0,2,5,4.8,2.2,4.9,15499680.0,52,4.0,0.0016085790884718498,0.0010723860589812334
6,1868.0,3.0,2.0,2,0,0,0,3,3.8,3.8,3.1,15714080.0,9,4.0,0.0016059957173447537,0.0010706638115631692
4,1639.0,2.0,2.0,3,1,1,0,2,2.3,3.2,4.8,8656000.0,18,1.0,0.0012202562538133007,0.0012202562538133007
2,796.0,1.0,1.0,1,1,0,1,4,3.5,4.6,4.7,10912550.0,36,3.0,0.001256281407035176,0.001256281407035176
0,1136.0,1.0,1.0,3,1,2,2,0,4.6,2.6,2.9,8287550.0,30,2.0,0.0008802816901408451,0.0008802816901408451
1,1902.0,2.0,1.0,2,1,0,2,4,4.5,4.9,4.9,21203240.0,42,6.0,0.0010515247108307045,0.0005257623554153522
2,1069.0,1.0,1.0,0,1,2,2,5,2.8,2.7,4.9,10905530.0,5,3.0,0.0009354536950420954,0.0009354536950420954
2,931.0,1.0,1.0,0,1,2,2,4,4.2,3.1,3.1,9185970.0,22,3.0,0.0010741138560687433,0.0010741138560687433
3,2010.0,3.0,2.0,4,0,2,0,3,3.4,4.5,3.4,10925400.0,10,5.0,0.0014925373134328358,0.0009950248756218905
2,1074.0,1.0,1.0,0,0,2,0,4,3.0,3.4,4.9,9627380.0,16,3.0,0.000931098696461825,0.000931098696461825
5,1972.0,2.0,1.0,1,0,2,1,3,4.1,4.4,2.8,13922760.0,5,7.0,0.0010141987829614604,0.0005070993914807302
5,1685.0,1.0,1.0,2,0,1,0,5,2.8,4.4,4.0,12601080.0,34,7.0,0.0005934718100890207,0.0005934718100890207
0,1130.0,1.0,1.0,2,1,0,2,3,2.3,2.5,2.2,13383350.0,30,2.0,0.0008849557522123894,0.0008849557522123894
4,1301.0,1.0,1.0,3,1,2,0,1,2.8,2.7,3.8,7939625.0,7,1.0,0.0007686395080707148,0.0007686395080707148
0,730.0,1.0,1.0,1,1,1,0,4,2.7,4.6,4.9,8848285.0,39,2.0,0.0013698630136986301,0.0013698630136986301
5,1806.0,2.0,1.0,2,0,1,2,3,4.1,5.0,3.0,11338200.0,35,7.0,0.0011074197120708748,0.0005537098560354374
1,1981.0,2.0,1.0,1,0,1,1,4,2.0,3.1,3.2,12872430.0,9,6.0,0.0010095911155981827,0.0005047955577990914
